,actual_wait div 60000
0,41.38997268676758
1,20.74083709716797
2,49.86637878417969
3,0.21605494618415833
4,0.0
5,20.74083709716797
6,7.9839701652526855
7,0.21605494618415833
8,44.313079833984375
9,26.21748924255371
10,0.5903761386871338
11,26.21748924255371
12,56.200653076171875
13,0.5903761386871338
14,26.21748924255371
15,21.203481674194336
16,0.0
17,20.74083709716797
18,0.0
19,19.58031463623047
20,33.062171936035156
21,56.200653076171875
22,20.74083709716797
23,0.0
24,0.0
25,20.74083709716797
26,7.219298362731934
27,20.74083709716797
28,0.0
29,19.411041259765625
30,0.0
31,7.970261573791504
32,0.0
33,20.366514205932617
34,7.9839701652526855
35,7.9839701652526855
36,0.0
37,0.0
38,8.379820823669434
39,0.0
40,20.248008728027344
41,0.0
42,0.0
43,8.379820823669434
44,9.216788291931152
45,0.0
46,0.0
47,0.0
48,20.248008728027344
49,0.0
50,19.411041259765625
51,19.411041259765625
52,20.82368278503418
53,8.379820823669434
54,0.0
55,34.31139373779297
56,0.0
57,7.219298362731934
58,19.411041259765625
59,0.0
60,19.411041259765625
61,19.411041259765625
62,19.411041259765625
63,9.792460441589355
64,9.216788291931152
65,7.219298362731934
66,64.3640365600586
67,0.0
68,92.10477447509766
69,73.76472473144531
70,0.0
71,92.10477447509766
72,92.10477447509766
73,73.76472473144531
74,73.76472473144531
75,92.10477447509766
76,74.75177764892578
77,92.10477447509766
78,92.10477447509766
79,92.10477447509766
80,92.10477447509766
81,84.50249481201172
82,80.22482299804688
83,89.77074432373047
84,89.77074432373047
85,0.0
86,0.0
87,104.67495727539062
88,0.0
89,85.43832397460938
90,85.43832397460938
91,0.0
92,0.0
93,2.001199722290039
94,0.0
95,85.43832397460938
96,0.0
97,79.79471588134766
98,91.89842224121094
99,0.0
100,103.77837371826172
101,1.9916284084320068
102,103.77837371826172
103,120.48393249511719
104,0.0
105,103.77837371826172
106,56.36650848388672
107,96.17609405517578
108,85.43832397460938
109,101.44434356689453
110,104.9199447631836
111,85.43832397460938
112,101.44434356689453
113,0.0
114,85.43832397460938
115,91.89842224121094
116,103.77837371826172
117,0.0
118,85.43832397460938
119,103.77837371826172
120,79.79471588134766
121,101.44434356689453
122,0.0
123,103.77837371826172
124,103.77837371826172
125,96.17609405517578
126,103.77837371826172
127,103.77837371826172
128,121.30846405029297
129,101.44434356689453
130,103.77837371826172
131,79.79471588134766
132,96.17609405517578
133,91.89842224121094
134,96.17609405517578
135,79.79471588134766
136,104.67495727539062
137,0.0
138,98.38064575195312
139,0.0
140,96.17609405517578
141,103.77837371826172
142,0.0
143,103.77837371826172
144,0.0
145,0.410180926322937
146,17.79269027709961
147,17.79269027709961
148,5.641427993774414
149,21.987459182739258
150,9.029877662658691
151,21.987459182739258
152,0.0
153,21.336240768432617
154,119.43096923828125
155,21.336240768432617
156,21.336240768432617
157,0.0
158,120.57254028320312
159,10.297528266906738
160,18.890178680419922
161,116.42312622070312
162,99.5938720703125
163,116.42312622070312
164,21.336240768432617
165,22.173208236694336
166,29.613176345825195
167,10.297528266906738
168,72.01908874511719
169,2.1877074241638184
170,117.09693908691406
171,21.336240768432617
172,21.336240768432617
173,108.82084655761719
174,22.173208236694336
175,21.336240768432617
176,117.09693908691406
177,99.5938720703125
178,107.55101776123047
179,21.336240768432617
180,7.8313188552856445
181,10.297528266906738
182,99.5938720703125
183,93.95026397705078
184,21.336240768432617
185,93.95026397705078
186,93.95026397705078
187,117.09693908691406
188,107.55101776123047
189,111.82868957519531
190,21.336240768432617
191,93.95026397705078
192,27.845125198364258
193,111.82868957519531
194,21.336240768432617
195,0.0
196,22.173208236694336
197,99.5938720703125
198,21.336240768432617
199,119.43096923828125
200,93.95026397705078
201,119.43096923828125
202,99.5938720703125
203,99.5938720703125
204,119.43096923828125
205,0.0
206,111.82868957519531
207,99.5938720703125
208,21.336240768432617
209,6.821629524230957
210,21.336240768432617
211,93.95026397705078
212,0.0
213,0.0
214,99.5938720703125
215,120.32755279541016
216,111.82868957519531
217,28.93853187561035
218,99.5938720703125
219,99.5938720703125
220,21.336240768432617
221,99.5938720703125
222,25.553884506225586
223,93.95026397705078
224,21.336240768432617
225,39.95188903808594
226,111.82868957519531
227,20.754446029663086
228,119.43096923828125
229,0.0
230,0.0
231,2.1877074241638184
232,9.932400703430176
233,117.10742950439453
234,111.82868957519531
235,21.336240768432617
236,93.95026397705078
237,1.8133606910705566
238,35.281005859375
239,35.281005859375
240,21.336240768432617
241,28.452653884887695
242,117.09693908691406
243,117.09693908691406
244,0.0
245,10.297528266906738
246,137.2509765625
247,107.55101776123047
248,107.55101776123047
249,99.12567138671875
250,93.95026397705078
251,21.336240768432617
252,21.336240768432617
253,17.89982032775879
254,10.297528266906738
255,119.43096923828125
256,19.776111602783203
257,19.776111602783203
258,1.8510199785232544
259,12.932167053222656
260,23.97088050842285
261,38.310264587402344
262,124.50469970703125
263,77.09281921386719
264,19.124893188476562
265,117.42718505859375
266,9.814739227294922
267,12.280948638916016
268,117.42718505859375
269,4.929474830627441
