id,actual_wait div 60000
0,46.43677902
1,19.43396378
2,53.12465668
3,0
4,0
5,20.84282112
6,4.693763256
7,0
8,45.64123154
9,12.87752914
10,0.569265425
11,12.87752914
12,28.36981773
13,0
14,8.238149643
15,26.94541359
16,0
17,24.50156784
18,2.341048241
19,21.81651115
20,44.85671234
21,23.95642281
22,21.95969963
23,1.858362913
24,0
25,24.2387085
26,27.62165642
27,28.17680168
28,0
29,23.48986053
30,0.245179147
31,4.497126579
32,0.697403133
33,47.96651459
34,3.413845778
35,4.373013973
36,2.423738718
37,0
38,13.14413071
39,0
40,18.25955963
41,0.746334791
42,0.621097207
43,7.11433506
44,4.827273369
45,1.886005402
46,1.588732123
47,0.707329929
48,30.93380547
49,0.226120323
50,25.73534012
51,22.86800766
52,25.44737244
53,9.229424477
54,1.359446764
55,57.65890121
56,1.133928895
57,17.89170647
58,14.60726261
59,0
60,29.22815514
61,20.78482628
62,12.03044987
63,13.36335373
64,5.61605072
65,15.12197113
66,33.2769165
67,0
68,36.37698746
69,30.08100891
70,0
71,39.65398788
72,39.67323685
73,30.0045948
74,27.99040985
75,40.66003418
76,25.54091644
77,40.74079895
78,54.90860367
79,66.00554657
80,52.17227554
81,43.29708862
82,33.09165955
83,45.03318787
84,45.31021118
85,0
86,0
87,77.20857239
88,0
89,62.49202347
90,62.70930099
91,0
92,0
93,0
94,0
95,60.79005814
96,0
97,50.65853882
98,59.49238968
99,0
100,80.07417297
101,0
102,84.98851013
103,97.45420837
104,0.146437258
105,91.18596649
106,29.64466858
107,81.66572571
108,73.63868713
109,86.48516083
110,83.34920502
111,75.91430664
112,87.6798172
113,0
114,78.82433319
115,80.25483704
116,100.6423874
117,0.080846637
118,77.23892975
119,96.99992371
120,58.35194397
121,95.80232239
122,0.337582529
123,97.5942688
124,97.23592377
125,89.34915924
126,99.40740967
127,104.5744553
128,120.8469238
129,96.0175705
130,103.6576157
131,67.3451767
132,94.85049438
133,87.64215851
134,91.32410431
135,57.99075699
136,106.0784912
137,0
138,96.27230835
139,2.398729801
140,93.3441391
141,106.1032181
142,2.415165186
143,103.056015
144,0
145,2.73750186
146,2.25773859
147,2.30377388
148,0
149,8.776724815
150,0
151,6.477087021
152,1.136609316
153,11.03098202
154,126.5391006
155,6.223432541
156,8.128252029
157,1.232494354
158,110.7371674
159,2.132661819
