id,actual_wait div 60000
0,38.45200348
1,12.79204941
2,46.73622894
3,0
4,0
5,16.24131393
6,0.644415855
7,0
8,41.50932693
9,11.59786606
10,0
11,11.59786606
12,41.38425827
13,0
14,11.59786606
15,16.23483276
16,0
17,15.8107233
18,0
19,12.02200699
20,26.60332108
21,41.38425827
22,15.59359455
23,0
24,0
25,16.61647415
26,0
27,15.8107233
28,0
29,17.02759552
30,0
31,0
32,0
33,11.21884441
34,0.644415855
35,4.043727398
36,0
37,0
38,5.619606972
39,0
40,15.18546391
41,0
42,0
43,3.411265373
44,2.38706255
45,0
46,0
47,0
48,13.79504967
49,0
50,17.02759552
51,13.79504967
52,12.85544491
53,2.341360569
54,0
55,32.76882172
56,0
57,1.401154518
58,14.60324669
59,0
60,15.95769215
61,12.72514534
62,13.79504967
63,4.680001259
64,2.38706255
65,1.401154518
66,57.74307632
67,0
68,72.62947083
69,54.83717728
70,0.93996954
71,77.30443573
72,76.88465118
73,54.83717728
74,55.6453743
75,75.21794128
76,65.75234222
77,75.21794128
78,74.71596527
79,72.62947083
80,74.71596527
81,65.32297516
82,63.29874802
83,70.16904449
84,74.17536926
85,0
86,0
87,106.7481079
88,0
89,83.47837067
90,83.47837067
91,0
92,0
93,0
94,0
95,85.56486511
96,0
97,80.06671143
98,89.38566589
99,0
100,103.3571548
101,0
102,103.3571548
103,118.8005905
104,0
105,105.4973221
106,53.82595062
107,98.19082642
108,85.6185379
109,99.77572632
110,106.9779053
111,89.59423828
112,102.4024429
113,0
114,89.59423828
115,92.90544128
116,107.386528
117,0
118,89.17445374
119,105.3000336
120,86.18257904
121,103.7820511
122,0
123,107.8885117
124,108.6967087
125,99.6602478
126,105.3000336
127,107.386528
128,125.3780594
129,99.77572632
130,107.386528
131,84.09608459
132,100.0800323
133,88.89911652
134,97.9935379
135,76.97714233
136,108.189003
137,0
138,99.51309967
139,2.578638554
140,97.9935379
141,107.386528
142,2.578638554
143,105.3000336
144,0
145,0
146,12.47852421
147,13.85813332
148,0.686491728
149,12.03811264
150,0
151,13.95705032
152,0
153,11.64756393
154,115.2612686
155,16.87548065
156,5.94016695
157,0
158,119.1948242
159,2.082916021
160,10.44694138
161,111.1485672
162,94.68306732
163,113.2350616
164,9.7566185
165,14.17454338
166,22.63257408
167,2.082916021
168,63.42512131
169,0
170,115.8099823
171,11.64740753
172,16.09347534
173,106.8289032
174,22.35082054
175,18.40120697
176,117.9501495
177,94.73674011
178,103.875412
179,18.23364449
180,0
181,4.22308445
182,96.82323456
183,93.41157532
184,16.31470871
185,91.32508087
186,94.8809967
187,117.9501495
188,103.875412
189,112.1616364
190,20.12285042
191,95.30078125
192,25.28128624
193,118.0581284
194,20.12285042
195,0
196,21.54262352
197,96.62594604
198,18.20391655
199,119.468132
200,93.2142868
201,119.468132
202,96.62594604
203,96.62594604
204,124.1431046
205,0
206,114.2481308
207,97.43414307
208,18.36235619
209,6.306785583
210,20.12285042
211,86.09534454
212,0
213,0
214,98.29265594
215,121.078804
216,112.1616364
217,30.01783371
218,98.29265594
219,98.29265594
220,20.12285042
221,96.62594604
222,26.90969658
223,93.2142868
224,20.2904129
225,41.29924393
